label,value
Afghanistan (4),4
Albania (8),8
Algeria (12),12
American Samoa (16),16
Andorra (20),20
Angola (24),24
Anguilla (660),660
Antarctica (10),10
Antigua and Barbuda (28),28
"Areas, nes (899)",899
Argentina (32),32
Armenia (51),51
Aruba (533),533
Australia (36),36
Austria (40),40
Azerbaijan (31),31
Bahamas (44),44
Bahrain (48),48
Bangladesh (50),50
Barbados (52),52
Belarus (112),112
Belgium (56),56
Belize (84),84
Benin (204),204
Bermuda (60),60
Bhutan (64),64
Bolivia (Plurinational State of) (68),68
Bonaire (535),535
Bosnia Herzegovina (70),70
Botswana (72),72
Bouvet Island (74),74
Br. Antarctic Terr. (80),80
Br. Indian Ocean Terr. (86),86
Br. Virgin Isds (92),92
Brazil (76),76
Brunei Darussalam (96),96
Bulgaria (100),100
Bunkers (837),837
Burkina Faso (854),854
Burundi (108),108
Cabo Verde (132),132
Cambodia (116),116
Cameroon (120),120
Canada (124),124
Cayman Isds (136),136
Central African Rep. (140),140
Chad (148),148
Chile (152),152
China (156),156
"China, Hong Kong SAR (344)",344
"China, Macao SAR (446)",446
Christmas Isds (162),162
Cocos Isds (166),166
Colombia (170),170
Comoros (174),174
Congo (178),178
Cook Isds (184),184
Costa Rica (188),188
Croatia (191),191
Cuba (192),192
Curaçao (531),531
Cyprus (196),196
Czechia (203),203
Côte d'Ivoire (384),384
Dem. People's Rep. of Korea (408),408
Dem. Rep. of the Congo (180),180
Denmark (208),208
Djibouti (262),262
Dominica (212),212
Dominican Rep. (214),214
Ecuador (218),218
Egypt (818),818
El Salvador (222),222
Equatorial Guinea (226),226
Eritrea (232),232
Estonia (233),233
Eswatini (748),748
Ethiopia (231),231
FS Micronesia (583),583
Faeroe Isds (234),234
Falkland Isds (Malvinas) (238),238
Fiji (242),242
Finland (246),246
Fr. South Antarctic Terr. (260),260
France (251),251
Free Zones (838),838
French Polynesia (258),258
Gabon (266),266
Gambia (270),270
Georgia (268),268
Germany (276),276
Ghana (288),288
Gibraltar (292),292
Greece (300),300
Greenland (304),304
Grenada (308),308
Guam (316),316
Guatemala (320),320
Guinea (324),324
Guinea-Bissau (624),624
Guyana (328),328
Haiti (332),332
Heard Island and McDonald Islands (334),334
Holy See (Vatican City State) (336),336
Honduras (340),340
Hungary (348),348
Iceland (352),352
India (699),699
Indonesia (360),360
Iran (364),364
Iraq (368),368
Ireland (372),372
Israel (376),376
Italy (380),380
Jamaica (388),388
Japan (392),392
Jordan (400),400
Kazakhstan (398),398
Kenya (404),404
Kiribati (296),296
Kuwait (414),414
Kyrgyzstan (417),417
"LAIA, nes (473)",473
Lao People's Dem. Rep. (418),418
Latvia (428),428
Lebanon (422),422
Lesotho (426),426
Liberia (430),430
Libya (434),434
Lithuania (440),440
Luxembourg (442),442
Madagascar (450),450
Malawi (454),454
Malaysia (458),458
Maldives (462),462
Mali (466),466
Malta (470),470
Marshall Isds (584),584
Mauritania (478),478
Mauritius (480),480
Mexico (484),484
Mongolia (496),496
Montenegro (499),499
Montserrat (500),500
Morocco (504),504
Mozambique (508),508
Myanmar (104),104
N. Mariana Isds (580),580
Namibia (516),516
Nauru (520),520
Nepal (524),524
Netherlands (528),528
New Caledonia (540),540
New Zealand (554),554
Nicaragua (558),558
Niger (562),562
Nigeria (566),566
Niue (570),570
Norfolk Isds (574),574
"North America and Central America, nes (637)",637
North Macedonia (807),807
Norway (579),579
"Oceania, nes (527)",527
Oman (512),512
"Other Africa, nes (577)",577
"Other Asia, nes (490)",490
"Other Europe, nes (568)",568
Pakistan (586),586
Palau (585),585
Panama (591),591
Papua New Guinea (598),598
Paraguay (600),600
Peru (604),604
Philippines (608),608
Pitcairn (612),612
Poland (616),616
Portugal (620),620
Qatar (634),634
Rep. of Korea (410),410
Rep. of Moldova (498),498
Romania (642),642
Russian Federation (643),643
Rwanda (646),646
Saint Barthélemy (652),652
Saint Helena (654),654
Saint Kitts and Nevis (659),659
Saint Lucia (662),662
Saint Pierre and Miquelon (666),666
Saint Vincent and the Grenadines (670),670
Samoa (882),882
San Marino (674),674
Sao Tome and Principe (678),678
Saudi Arabia (682),682
Senegal (686),686
Serbia (688),688
Seychelles (690),690
Sierra Leone (694),694
Singapore (702),702
Sint Maarten (534),534
Slovakia (703),703
Slovenia (705),705
Solomon Isds (90),90
Somalia (706),706
South Africa (710),710
South Georgia and the South Sandwich Islands (239),239
South Sudan (728),728
Spain (724),724
Special Categories (839),839
Sri Lanka (144),144
State of Palestine (275),275
Sudan (729),729
Suriname (740),740
Sweden (752),752
Switzerland (757),757
Syria (760),760
Tajikistan (762),762
Thailand (764),764
Timor-Leste (626),626
Togo (768),768
Tokelau (772),772
Tonga (776),776
Trinidad and Tobago (780),780
Tunisia (788),788
Turkmenistan (795),795
Turks and Caicos Isds (796),796
Tuvalu (798),798
Türkiye (792),792
USA (842),842
Uganda (800),800
Ukraine (804),804
United Arab Emirates (784),784
United Kingdom (826),826
United Rep. of Tanzania (834),834
United States Minor Outlying Islands (581),581
Uruguay (858),858
Uzbekistan (860),860
Vanuatu (548),548
Venezuela (862),862
Viet Nam (704),704
Wallis and Futuna Isds (876),876
Western Sahara (732),732
Yemen (887),887
Zambia (894),894
Zimbabwe (716),716
