label,value
"Graphite; natural, in powder or in flakes",250410
"Graphite; natural, in other forms, excluding powder or flakes",250490
"Sands; natural, silica and quartz sands, whether or not coloured",250510
Quartz; other than natural sands,250610
Kaolin and other kaolinic clays; whether or not calcined,250700
Magnesium carbonate (magnesite); natural,251910
Quicklime; excluding calcium oxide and hydroxide of heading no. 2825,252210
"Cement; portland, white, whether or not artificially coloured",252321
"Cement; portland, other than white, whether or not artificially coloured",252329
Mica; crude and rifted into sheets or splittings,252510
Mica; powder,252520
"Steatite; natural, (not crushed or powdered), whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",252610
"Steatite; natural, crushed, powdered, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",252620
Feldspar,252910
Fluorspar; containing by weight 97% or less of calcium fluoride,252921
Fluorspar; containing by weight more than 97% of calcium fluoride,252922
Mineral substances; n.e.c. in chapter 25,253090
Iron ores and concentrates; non-agglomerated,260111
Iron ores and concentrates; agglomerated (excluding roasted iron pyrites),260112
"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",260200
Copper ores and concentrates,260300
Nickel ores and concentrates,260400
Cobalt ores and concentrates,260500
Aluminium ores and concentrates,260600
Zinc ores and concentrates,260800
Tin ores and concentrates,260900
Chromium ores and concentrates,261000
Tungsten ores and concentrates,261100
Molybdenum ores and concentrates; roasted,261310
Molybdenum ores and concentrates; other than roasted,261390
Titanium ores and concentrates,261400
"Niobium, tantalum, vanadium ores and concentrates",261590
"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly zinc, hard zinc spelter",262011
"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly zinc, other than hard zinc spelter",262019
"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly aluminium",262040
"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly metals or their compounds, n.e.c. in heading no. 2620",262099
"Oils; petroleum oils and oils obtained from bituminous minerals, crude",270900
"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations",271019
"Petroleum coke; calcined, obtained from bituminous minerals",271312
Carbon; carbon blacks and other forms of carbon n.e.c.,280300
Hydrogen,280410
Nitrogen,280430
Boron; tellurium,280450
Silicon; containing by weight not less than 99.99% of silicon,280461
Silicon; containing by weight less than 99.99% of silicon,280469
Alkali or alkali-earth metals; other than sodium and calcium,280519
"Earth-metals, rare; scandium and yttrium, whether or not intermixed or interalloyed",280530
Hydrogen chloride (hydrochloric acid),280610
Oxides of boron; boric acids,281000
Ammonia; anhydrous,281410
Ammonia; in aqueous solution,281420
Zinc; oxide and peroxide,281700
Aluminium oxide; other than artificial corundum,281820
Chromium trioxide,281910
Chromium oxides and hydroxides; excluding chromium trioxide,281990
Manganese dioxide,282010
Cobalt oxides and hydroxides; commercial cobalt oxides,282200
Titanium oxides,282300
Lithium oxide and hydroxide,282520
Vanadium oxides and hydroxides,282530
Nickel oxides and hydroxides,282540
"Inorganic bases, metal oxides, hydroxides and peroxides; n.e.c. in heading no. 2825",282590
"Chlorides; other than of ammonium, calcium, magnesium, aluminium and nickel",282739
Sulphates; of aluminium,283322
Sulphates; of nickel,283324
Sulphates; n.e.c. in item no. 2833.2,283329
Carbonates; lithium carbonate,283691
Salts; sodium dichromate,284130
"Salts; chromates, dichromates, peroxochromates; n.e.c. in heading no. 2841",284150
"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",284290
"Uranium; natural uranium and its compounds, alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",284410
"Uranium; enriched in U235, plutonium, their compounds, alloys dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products",284420
Spent (irradiated) fuel elements (cartridges) of nuclear reactors,284450
"Compounds, inorganic or organic (excluding cerium), of rare-earth metals, of yttrium, scandium or of mixtures of these metals",284690
"Carbides; whether or not chemically defined, other than of calcium or silicon",284990
"Acyclic hydrocarbons; unsaturated, ethylene",290121
"Acyclic hydrocarbons; unsaturated, propene (propylene)",290122
"Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, other than diethyl ether",290919
"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives; oxirane (ethylene oxide)",291010
"Esters; other than thiophosphoric esters (phosphorothioates) and phosphite esters and their salts, their halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2920",292090
"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, monoethanolamine and its salts",292211
"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, diethanolamine and its salts",292212
"Pharmaceutical goods; placebos and blinded (or double-blinded) clinical trial kits for a recognised clinical trial, put up in measured doses",300693
"Colouring matter; pigments and preparations based on titanium dioxide, containing 80% or more by weight of titanium dioxide calculated on the dry matter",320611
"Colouring matter; pigments and preparations based on titanium dioxide, containing less than 80% by weight of titanium dioxide calculated on the dry weight",320619
"Glass; glass frit and other glass, in the form of powder, granules or flakes",320740
Mastics; painters' fillings,321410
Graphite; artificial,380110
Graphite; colloidal or semi-colloidal,380120
"Graphite or other carbon based preparations; in the form of pastes, blocks, plates or other semi-manufactures",380190
