label,value
Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,220710
"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",220890
"Petroleum gases and other gaseous hydrocarbons; liquefied, ethylene, propylene, butylene and butadiene",271114
Oxygen,280440
Sulphates; n.e.c. in item no. 2833.2,283329
Salts of oxometallic or peroxometallic acids; n.e.c. in heading no. 2841,284190
"Salts of inorganic acids or peroxoacids, double or complex silicates, including aluminosilicates, whether or not chemically defined, excluding azides",284210
"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",284290
Silver compounds; excluding silver nitrates,284329
Gold compounds,284330
"Inorganic or organic compounds of precious metals, n.e.c.; amalgams",284390
"Radioactive elements; tritium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing tritium or its compounds",284441
"Radioactive elements; actinium-225, 227, californium-253, curium-240, 241, 242, 243, 244, einsteinium-253, 254, gadolinium-148, polonium-208, 209, 210, radium-223, uranium-230 or 232, compounds; alloys, dispersions, ceramic products and mixtures",284442
"Radioactive elements, isotopes and compounds; other alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds",284443
Boron enriched in boron-10 and its compounds,284520
Lithium enriched in lithium-6 and its compounds,284530
Helium-3,284540
"Isotopes (excluding those of heading no. 2844); compounds, inorganic or organic, of such isotopes, whether or not chemically defined",284590
"Compounds, inorganic or organic (excluding cerium), of rare-earth metals, of yttrium, scandium or of mixtures of these metals",284690
Hydrogen peroxide; whether or not solidified with urea,284700
"Inorganic or organic compounds of mercury, excluding amalgams, chemically defined",285210
"Inorganic or organic compounds of mercury; excluding amalgams, not chemically defined,",285290
"Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane",290219
Cyclic hydrocarbons; n.e.c. in heading no. 2902,290290
Saturated fluorinated derivatives of acyclic hydrocarbons; trifluoromethane (HFC-23),290341
Saturated fluorinated derivatives of acyclic hydrocarbons; difluoromethane (HFC-32),290342
"Saturated fluorinated derivatives of acyclic hydrocarbons; fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)",290343
"Saturated fluorinated derivatives of acyclic hydrocarbons; pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)",290344
"Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,2-tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC-134)",290345
"Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,2,3,3,3-heptafluoropropane (HFC-227ea), 1,1,1,2,2,3-hexafluoropropane (HFC-236cb), 1,1,1,2,3,3-hexafluoropropane (HFC-236ea) and 1,1,1,3,3,3-hexafluoropropane (HFC-236fa)",290346
"Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,3,3-pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca)",290347
"Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,3,3-pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)",290348
Saturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no 2903.4,290349
"Unsaturated fluorinated derivatives of acyclic hydrocarbons; 2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)",290351
"Halogenated derivatives of cyclanic, cyclenic, or cycloterpenic hydrocarbons; n.e.c. in item no. 2903.5",290359
Halogenated derivatives of aromatic hydrocarbons; n.e.c. in item no. 2903.6,290369
Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoromethane,290371
Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichlorotrifluoroethane,290372
Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichlorofluoroethanes,290373
"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoroethanes HCFC-142, 142b)",290374
"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichloropentafluoropropanes (HCFC-225, 225ca, 225cb)",290375
