Order,8- or 10-Digit HS Code,First brief_description,First Sector,First Subsector,First Stage
272,25221000,Quicklime (other than calcium oxide and hydroxide of heading 2825),Energy,Carbon Capture,Input
273,25232100,"Portland cement (white cement), whether or not artificially colored",Energy,Carbon Capture,Input
274,25232900,"Portland cement (other than white cement), whether or not colored",Energy,Carbon Capture,Input
275,27090010,"Petroleum oils and oils from bituminous minerals, crude, testing under 25 degrees A.P.I.",Energy,Carbon Capture,Input
276,27090020,"Petroleum oils and oils from bituminous minerals, crude, testing 25 degrees A.P.I. or more",Energy,Carbon Capture,Input
277,28041000,Hydrogen,Energy,Carbon Capture,Input
278,28043000,Nitrogen,Energy,Carbon Capture,Input
279,28141000,Anhydrous ammonia,Energy,Carbon Capture,Input
280,28142000,Ammonia in aqueous solution,Energy,Carbon Capture,Input
281,29012100,Ethylene,Energy,Carbon Capture,Input
282,29012200,Propene (Propylene),Energy,Carbon Capture,Input
283,29091930,Triethylene glycol dichloride,Energy,Carbon Capture,Input
284,29101000,Oxirane (Ethylene oxide),Energy,Carbon Capture,Input
285,29221100,Monoethanolamine and its salts,Energy,Carbon Capture,Input
286,29221200,Diethanolamine and its salts,Energy,Carbon Capture,Input
287,84137020,"Centrifugal pumps for liquids, not fitted with a measuring device, nesoi",Energy,Carbon Capture,Input
288,84148020,"Gas compressors, nesoi",Energy,Carbon Capture,Input
289,84148090,"Air or gas pumps, compressors and fans, nesoi",Energy,Carbon Capture,Input
290,84149030,Stators and rotors of goods of subheading 8414.30,Energy,Carbon Capture,Input
291,84149041,"Parts of air or gas compressors, nesoi",Energy,Carbon Capture,Input
292,25070000,"Kaolin and other kaolinic clays, whether or not calcined",Energy,Electric Grid,Input
293,25251000,"Mica, crude or rifted into sheets or splittings",Energy,Electric Grid,Input
294,25252000,"Mica, powder",Energy,Electric Grid,Input
295,25261000,"Steatite, natural n/crushed or powdered, whether or not roughly trimmed or cut into rect. blocks or slabs; talc n/crushed or powdered",Energy,Electric Grid,Input
296,25262000,"Steatite, natural; talc; the foregoing crushed or powdered",Energy,Electric Grid,Input
297,25291000,Feldspar,Energy,Electric Grid,Input
298,25292100,"Fluorspar, containing by weight 97 percent or less of calcium fluoride",Energy,Electric Grid,Input
299,25292200,"Fluorspar, containing by weight more than 97 percent of calcium fluoride",Energy,Electric Grid,Input
300,25309010,Natural cryolite; natural chiolite,Energy,Electric Grid,Input
301,26011100,"Iron ores and concentrates (other than roasted iron pyrites), not agglomerated",Energy,Electric Grid,Input
302,26011200,"Iron ores and concentrates (other than roasted iron pyrites), agglomerated",Energy,Electric Grid,Input
303,26030000,Copper ores and concentrates,Energy,Electric Grid,Input
304,26040000,Nickel ores and concentrates,Energy,Electric Grid,Input
305,26060000,Aluminum ores and concentrates,Energy,Electric Grid,Input
306,26100000,Chromium ores and concentrates,Energy,Electric Grid,Input
307,26110030,Tungsten ores,Energy,Electric Grid,Input
308,26110060,Tungsten concentrates,Energy,Electric Grid,Input
309,27090010,"Petroleum oils and oils from bituminous minerals, crude, testing under 25 degrees A.P.I.",Energy,Electric Grid,Input
310,27090020,"Petroleum oils and oils from bituminous minerals, crude, testing 25 degrees A.P.I. or more",Energy,Electric Grid,Input
311,27101945,"Mixture of hydrocarbons from petro oils & bitum. min. or preps.70%+ by wt. fr. petro. oils, nesoi, n/o 50% any single hydrocarbon",Energy,Electric Grid,Input
312,39046100,"Polytetrafluoroethylene (PTFE), in primary forms",Energy,Electric Grid,Input
313,39073000,Epoxide resins in primary forms,Energy,Electric Grid,Input
314,44011100,"Coniferous fuel wood, in logs, in billets, in twigs, in faggots or similar forms",Energy,Electric Grid,Input
315,44011200,"Nonconiferous fuel wood, in logs, in billets, in twigs, in faggots or similar forms",Energy,Electric Grid,Input
316,44012100,Coniferous wood in chips or particles,Energy,Electric Grid,Input
317,44012200,Nonconiferous wood in chips or particles,Energy,Electric Grid,Input
318,44013100,"Sawdust and wood waste and scrap,  pellets",Energy,Electric Grid,Input
319,44013200,Wood briquettes,Energy,Electric Grid,Input
320,44013942,"Sawdust and wood waste and scrap, agglomerated, excluding wood pellets, wood briquettes and artificial fire logs",Energy,Electric Grid,Input
321,44014100,"Sawdust, not agglomerated",Energy,Electric Grid,Input
322,44014900,"Other wood waste and scrap, not agglomerated, other than sawdust",Energy,Electric Grid,Input
323,72155000,"Iron/nonalloy steel nesoi, bars and rods, not further wkd. than cold-formed or cold-finished, not in coils",Energy,Electric Grid,Input
324,72230010,"Stainless steel, round wire",Energy,Electric Grid,Input
325,72230050,"Stainless steel, flat wire",Energy,Electric Grid,Input
326,72230090,"Stainless steel, wire (other than round or flat wire)",Energy,Electric Grid,Input
327,72261110,"Alloy silicon electrical steel (grain-oriented), width 300mm+ but less th/600mm, flat-rolled products",Energy,Electric Grid,Input
328,72261190,"Alloy silicon electrical steel (grain-oriented), width less th/300mm, flat-rolled products",Energy,Electric Grid,Input
329,74071015,"Refined copper, hollow profiles",Energy,Electric Grid,Input
330,74071030,"Refined copper, profiles (o/than hollow profiles)",Energy,Electric Grid,Input
331,74071050,"Refined copper, bars and rods",Energy,Electric Grid,Input
332,74072115,"Copper-zinc base alloys (brass), hollow profiles",Energy,Electric Grid,Input
333,74072130,"Copper-zinc base alloys (brass), profiles (o/than hollow profiles)",Energy,Electric Grid,Input
334,74072150,"Copper-zinc base alloys (brass), low fuming brazing rods",Energy,Electric Grid,Input
335,74072170,"Copper-zinc base alloys (brass), bars & rods nesoi, having a rectangular cross section",Energy,Electric Grid,Input
336,74072190,"Copper-zinc base alloys (brass), bars & rods nesoi, not having a rectangular cross section",Energy,Electric Grid,Input
337,74081130,"Refined copper, wire, w/maximum cross-sectional dimension over 9.5 mm",Energy,Electric Grid,Input
338,74081160,"Refined copper, wire, w/maximum cross-sectional dimension over 6 mm but not over 9.5 mm",Energy,Electric Grid,Input
339,74081900,"Refined copper, wire, w/maximum cross-sectional dimension of 6 mm or less",Energy,Electric Grid,Input
340,74082100,"Copper-zinc base alloys (brass), wire",Energy,Electric Grid,Input
341,74082210,"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), wire, coated or plated with metal",Energy,Electric Grid,Input
342,74082250,"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), wire, not coated or plated w/metal",Energy,Electric Grid,Input
343,74082910,"Copper alloys (o/than brass, cupro-nickel or nickel-silver), wire, coated or plated with metal",Energy,Electric Grid,Input
344,74082950,"Copper alloys (o/than brass, cupro-nickel or nickel-silver), wire, not coated or plated with metal",Energy,Electric Grid,Input
345,74091110,"Refined copper, plates, sheets and strip, in coils, with a thickness of 5 mm or more",Energy,Electric Grid,Input
346,74091150,"Refined copper, plates, sheets and strip, in coils, with a thickness over 0.15mm but less than 5 mm",Energy,Electric Grid,Input
347,74111010,"Refined copper, tubes and pipes, seamless",Energy,Electric Grid,Input
348,74111050,"Refined copper, tubes and pipes, other than seamless",Energy,Electric Grid,Input
349,76149020,"Aluminum, elect. conductors of stranded wire, cables & the like (o/than w/steel core), n/elect. insulated, n/fitted w/fittings or articles",Energy,Electric Grid,Input
350,81123900,"Hafnium, articles, nesoi",Energy,Electric Grid,Input
351,81124900,"Rhenium, articles, nesoi",Energy,Electric Grid,Input
352,81129260,"Germanium, unwrought",Energy,Electric Grid,Input
353,81129265,"Germanium powder, wrought",Energy,Electric Grid,Input
354,81129910,Germanium nesoi and articles thereof,Energy,Electric Grid,Input
355,81129991,"Articles of gallium, indium, or niobium, nesoi",Energy,Electric Grid,Input
356,85042300,"Liquid dielectric transformers having a power handling capacity exceeding 10,000 kVA",Energy,Electric Grid,Input
357,85049096,"Parts (other than printed circuit assemblies) of electrical transformers, static converters and inductors",Energy,Electric Grid,Input
358,85321000,Fixed electrical capacitors designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0.5 kvar,Energy,Electric Grid,Input
359,85351000,"Fuses, for a voltage exceeding 1,000 V",Energy,Electric Grid,Input
360,85352100,"Automatic circuit breakers, for a voltage of less than 72.5 kV, but exceeding 1,000 V",Energy,Electric Grid,Input
361,85352900,"Automatic circuit breakers, for a voltage of 72.5 kV or more",Energy,Electric Grid,Input
362,85353000,"Isolating switches and make-and-break switches, for a voltage exceeding 1,000 V",Energy,Electric Grid,Input
363,85354000,"Lightning arrestors, voltage limiters and surge suppressors, for a voltage exceeding 1,000 V",Energy,Electric Grid,Input
364,85359080,"Electrical apparatus nesoi for switching, protecting, or making connections for electrical circuits, for a voltage exceeding 1,000 V, nesoi",Energy,Electric Grid,Input
365,85372000,"Boards, panels, consoles, desks, cabinets and other bases, equipped with apparatus for electric control, for a voltage exceeding 1,000 V",Energy,Electric Grid,Input
366,85446020,"Insulated electric conductors nesoi, for a voltage exceeding 1,000 V, fitted with connectors",Energy,Electric Grid,Input
367,85446040,"Insulated electric conductors nesoi, of copper, for a voltage exceeding 1,000 V, not fitted with connectors",Energy,Electric Grid,Input
368,85446060,"Insulated electric conductors nesoi, not of copper, for a voltage exceeding 1,000 V, not fitted with connectors",Energy,Electric Grid,Input
369,90283000,"Electricity supply or production meters, including calibrating meters thereof",Energy,Electric Grid,Input
370,90289000,"Parts and accessories for gas, liquid or electricity supply or production meters",Energy,Electric Grid,Input
371,84147000,Gas-tight biological safety cabinets,Energy,Fuel Cells,Capital good
372,84149091,"Parts of air or vacuum pumps, ventilating or recycling hoods, gas-tight biological safety cabinets",Energy,Fuel Cells,Capital good
373,84195050,"Heat exchange units, nesoi",Energy,Fuel Cells,Capital good
374,84199030,Parts of heat exchange units,Energy,Fuel Cells,Capital good
375,84199095,"Parts of machinery, plant or laboratory equipment for the treatment of materials by a process involving a change of temperature, nesoi",Energy,Fuel Cells,Capital good
376,84212100,Machinery and apparatus for filtering or purifying water,Energy,Fuel Cells,Capital good
377,84212900,"Filtering or purifying machinery and apparatus for liquids, nesoi",Energy,Fuel Cells,Capital good
378,84213901,"Filtering or purifying machinery and apparatus for gases, other than intake air filters or catalytic conv. for internal combustion engines",Energy,Fuel Cells,Capital good
379,84219901,Parts for filtering or purifying machinery or apparatus for liquids or gases,Energy,Fuel Cells,Capital good
380,84779065,"Hydraulic assemblies of machinery for working rubber or plastics or for the manufacture of products from these materials, nesoi",Energy,Fuel Cells,Capital good
381,84811000,"Pressure-reducing valves for pipes, boiler shells, tanks, vats or the like",Energy,Fuel Cells,Capital good
382,84812000,Valves for oleohydraulic or pneumatic transmissions,Energy,Fuel Cells,Capital good
383,84813010,"Check valves of copper for pipes, boiler shells, tanks, vats or the like",Energy,Fuel Cells,Capital good
384,84813020,"Check valves of iron or steel for pipes, boiler shells, tanks, vats or the like",Energy,Fuel Cells,Capital good
385,84813090,"Check valves other than of copper or iron or steel, for pipes, boiler shells, tanks, vats or the like",Energy,Fuel Cells,Capital good
386,84814000,"Safety or relief valves for pipes, boiler shells, tanks, vats or the like",Energy,Fuel Cells,Capital good
387,84818010,"Taps, cocks, valves & similar appliances for pipes, boiler shells, tanks, vats or the like, hand operated, of copper, nesoi",Energy,Fuel Cells,Capital good
388,84818030,"Taps, cocks, valves & similar appliances for pipes, boiler shells, tanks, vats or the like, hand operated, of iron or steel, nesoi",Energy,Fuel Cells,Capital good
389,84818090,"Taps, cocks, valves & similar appliances for pipes, boiler shells, tanks, vats or the like, other than hand operated, nesoi",Energy,Fuel Cells,Capital good
390,84819090,"Parts of taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, nesoi",Energy,Fuel Cells,Capital good
391,90283000,"Electricity supply or production meters, including calibrating meters thereof",Energy,Fuel Cells,Capital good
392,25041010,"Natural graphite, crystalline flake (not including flake dust)",Energy,Fuel Cells,Input
393,25041050,Natural graphite in powder or flakes (other than crystalline flake),Energy,Fuel Cells,Input
394,25049000,"Natural graphite, other than in powder or in flakes",Energy,Fuel Cells,Input
395,26040000,Nickel ores and concentrates,Energy,Fuel Cells,Input
396,26100000,Chromium ores and concentrates,Energy,Fuel Cells,Input
397,26140060,"Titanium ores and concentrates, other than synthetic rutile",Energy,Fuel Cells,Input
398,26209950,Slag (other than from the manufacture of iron or steel) contains over 40% titanium & if has over 2% Cu/Pb/Zn is not for recovery thereof,Energy,Fuel Cells,Input
