Order,Description,Sector,Subsector,Stage,8- or 10-Digit HS Code,First brief_description,First Sector,First Subsector,First Stage
1303,Gas-tight biological safety cabinets,Public Health,Personal Protective Equipment and Durable Medical Equipment,Capital good,84147000,,,,
1304,"Filtering or purifying machinery and apparatus for gases, other than intake air filters or catalytic conv. for internal combustion engines",Public Health,Personal Protective Equipment and Durable Medical Equipment,Capital good,84213901,,,,
1305,"Machinery for working rubber or plastics or for the manufacture of products from these materials, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Capital good,84778001,,,,
1306,Machines for additive manufacturing by plastics or rubber deposit,Public Health,Personal Protective Equipment and Durable Medical Equipment,Capital good,84852000,,,,
1307,Oxygen,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,28044000,,,,
1308,"Hydrogen peroxide, whether or not solidified with urea",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,28470000,,,,
1309,"Soap, nesoi; organic surface-active products used as soap, in bars, cakes, pieces, soap-impregnated paper, wadding, felt, for toilet use",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,34011150,,,,
1310,"Soap; organic surface-active products used as soap, in bars, cakes, pieces; soap-impregnated paper, wadding, felt, not for toilet use",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,34011900,,,,
1311,"Soap, not in the form of bars, cakes, molded pieces or shapes",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,34012000,,,,
1312,"Sacks and bags (including cones) for the conveyance or packing of goods, of polymers of ethylene",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,39232100,,,,
1313,"Sacks and bags (including cones) for the conveyance or packing of goods, of plastics other than polymers of ethylene",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,39232900,,,,
1314,"Gloves, seamless, of plastics",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,39262010,,,,
1315,"Articles of apparel & clothing accessories, of plastic, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,39262090,,,,
1316,"Other articles of plastic, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,39269099,,,,
1317,Medical or surgical gloves of vulcanized rubber other than hard rubber,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,40151210,,,,
1318,Dental or veterinary gloves of vulcanized rubber other than hard rubber,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,40151290,,,,
1319,Other seamless gloves of vulcanized rubber other than hard rubber,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,40151911,,,,
1320,"Other gloves, not seamless of vulcanized rubber other than hard rubber",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,40151951,,,,
1321,"Articles of apparel and clothing accessories, excluding gloves, of vulcanized rubber other than hard rubber",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,40159000,,,,
1322,"Articles of apparel and clothing accessories of paper pulp, paper, cellulose wadding or webs of cellulose fibers",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,48185000,,,,
1323,"Bedsheets and similar household, sanitary or hospital articles of paper, cellulose wadding or webs of cellulose fibers, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,48189000,,,,
1324,"Articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibers, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,48239086,,,,
1325,Wadding of man-made fibers and other articles of such wadding nesoi,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,56012200,,,,
1326,"Gloves, mittens & mitts(excl sports), impreg etc, not cut & sewn from  pre-existing fabric, w/o fourch, cont < 50% by wt of text fib, k/c",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,61161065,,,,
1327,"Garments, not knitted or crocheted, made up of fabrics of heading 5602 or 5603 formed on a base of paper or covered or lined with paper",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,62101020,,,,
1328,"Nonwoven dispos apparel designed for hosps, clinics, labs or cont area use, made up of fab of 5602/5603, n/formed or lined w paper, not k/c",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,62101050,,,,
1329,"Garments, nesoi,  made up of fabrics of heading 5602 or 5603, not formed or lined w paper, not k/c",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,62101090,,,,
1330,"Women's/girls' garm, nesoi, fab of 5903/5906/5907, n k/c, mmf, w/out sur. impreg/coated/etc. w/rub/plast compl obscuring fab, o/than rec perf outwear",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,62105035,,,,
1331,"Wom's/girls' garm, nesoi, fab of 5903/5906/5907, n k/c, of tex mat (excl mmf), w/o sur. impreg/etc. w/rub/plast comp obscur fab, not rec perf outwear",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,62105075,,,,
1332,"Gloves, mittens & mitts (excl. for sports), not impregnated, coated or covered with plastics or rubber, of man-made fibers, w/o fourchettes",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,62160054,,,,
1333,Surgical drapes of fabric formed on a base of paper or covered or lined with paper,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,63079060,,,,
1334,Surgical drapes of spunlaced or bonded fiber fabric disposable surgical drapes of man-made fibers,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,63079068,,,,
1335,"Surgical drapes, nesoi, not spunlaced or bonded fiber fabric",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,63079072,,,,
1336,"Surgical towels; cotton towels of pile/tufted const.; pillow shells, of cotton; shells for quilts etc., and similar articles of cotton",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,63079089,,,,
1337,"National flags and other made-up articles of textile materials, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,63079098,,,,
1338,"Disposable footwear, nesoi, designed for one-time use",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,64059020,,,,
1339,"Hair-nets of any material, whether or not lined or trimmed",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,65050001,,,,
1340,"Hats and headgear, of man-made fibers, made up from felt or of textile material, not knitted or crocheted, not in part of braid",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,65050080,,,,
1341,"Hats and headgear, of textile materials (other than of cotton, flax, wool or man-made fibers), nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,65050090,,,,
1342,"Iron/steel, containers for compressed or liquefied gas",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,73110000,,,,
1343,"Aluminum, containers for compressed or liquefied gas",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,76130000,,,,
1344,"Medical, surgical or laboratory sterilizers",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,84192000,,,,
1345,"Mtr. vehicles (o/than for transport of persons or of goods), special purpose motor vehicles nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,87059000,,,,
1346,"Invalid carriages, not mechanically propelled",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,87131000,,,,
1347,"Invalid carriages, motorized or otherwise mechanically propelled",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,87139000,,,,
1348,"Spectacles, goggles and the like, corrective, protective or other, other than sunglasses",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,90049000,,,,
1349,"Breathing appliances, nesoi, & gas masks, excl. protective masks having neither mechanical parts/replaceable filters, parts, accessories of",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,90200060,,,,
1350,"Medical, surgical, dental or veterinary furniture and parts thereof",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,94029000,,,,
1351,"Soap & Other Organic Surface-Active Products,Not For Toilet Use, In Bars, Cakes, Molded Pieces, And Paper, Etc Impregnated Or Coated With Soap Or Detergent",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,3401190000,,,,
1352,Disinfectants Containing Any Aromatic Or Modified Aromatic Disinfectant,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,3808941000,,,,
1353,"Wipes Impregnated With Alcohol Or Other Disinfectants, Other Than Paper Wipes Or Nonwoven Wipes",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,3808945010,,,,
1354,"Sacks And Bags (Including Cones) Of Polymers Of Ethylene, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,3923210095,,,,
1355,"Aprons, Of Plastic",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,3926209010,,,,
1356,"Articles Of Apparel & Clothing Accessories,Of Plastic,NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,3926209050,,,,
1357,Laboratory Ware,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,3926909910,,,,
1358,"Plastic Facemasks And Shields, Medical Positioning Or Transport Pads, Medical Waste Containers Or Disinfectant Wipes Dispensers",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,3926909950,,,,
1359,"Medical Gloves, Of Vulcanized Rubber Other Than Hard Rubber, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,4015121010,,,,
1360,"Surgical Gloves, Of Vulcanized Rubber Other Than Hard Rubber, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,4015121020,,,,
1361,"Seamless, Disposable Gloves, Of Vulcanized Rubber Other Than Hard Rubber",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,4015191110,,,,
1362,"Face Masks Of Paper Pulp, Paper Cellulose Wadding Or Webs Of Cellulose Fibers",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,4818900020,,,,
1363,"Bed Sheets And Similar Household Or Hospital Articles Of Paper Pulp, Paper Cellulose Wadding Or Webs Of Cellulose Fibers, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,4818900080,,,,
1364,"Other Nonwovens, Man-Made, Weighing More Than 25-70 G/M2, Ready For Use, Packaged For Sale, Separated, Perforated, Or Impregnated, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,5603120070,,,,
1365,"Other Gloves, Knitted Or Crocheted, Containing Less Than 50 Percent Mfa Fibers, No Fourchettes, Impregnated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6116106500,,,,
1366,"Surgical Or Isolation Gowns, Disposable, Of Nonwoven Fabrics Of Heading 5602 Or 5603",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6210105010,,,,
1367,"Disposable Apparel Designed For Use In Hospitals, Clinics, Laboratories And Other Areas, Of Nonwoven Fabricsof Heading 5602 Or 5603, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6210105090,,,,
1368,"Other Made Up Articles, Including Dress Patterns: Surgical Drapes, Of Fabric Formed On A Base Of Paper Or Covered With Paper, Other",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6307906090,,,,
