label,value
"Graphite; natural, in powder or in flakes",250410
Magnesium carbonate (magnesite); natural,251910
"Magnesia, fused or dead-burned (sintered); whether or not containing small quantities of other oxides added before sintering, other magnesium oxide, whether or not pure, (not natural magnesium carbonate)",251990
"Kieserite, epsomite (natural magnesium sulphates)",253020
Cobalt ores and concentrates,260500
Tungsten ores and concentrates,261100
"Niobium, tantalum, vanadium ores and concentrates",261590
Antimony ores and concentrates,261710
Fluorine; bromine,280130
Carbon; carbon blacks and other forms of carbon n.e.c.,280300
"Gases, rare; other than argon",280429
Boron; tellurium,280450
Silicon; containing by weight not less than 99.99% of silicon,280461
Arsenic,280480
Hydrogen chloride (hydrochloric acid),280610
Sulphuric acid; oleum,280700
Nitric acid; sulphonitric acids,280800
Phosphoric acid and polyphosphoric acids,280920
Inorganic acids; other than hydrogen fluoride,281119
"Inorganic oxygen compounds; of non-metals, n.e.c. in item no. 2811.2",281129
"Sulphides of non-metals, (excluding carbon); commercial phosphorus trisulphide",281390
Ammonia; in aqueous solution,281420
Hydroxide and peroxide of magnesium,281610
Cobalt oxides and hydroxides; commercial cobalt oxides,282200
Antimony oxides,282580
"Inorganic bases, metal oxides, hydroxides and peroxides; n.e.c. in heading no. 2825",282590
"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts, n.e.c. in heading no. 2826",282690
Chlorides; of magnesium,282731
"Chlorides; other than of ammonium, calcium, magnesium, aluminium and nickel",282739
Sulphates; of magnesium,283321
Sulphates; n.e.c. in item no. 2833.2,283329
Carbonates; n.e.c. in heading no. 2836 and other than lithium or strontium,283699
Salts; tungstates (wolframates),284180
"Carbides; whether or not chemically defined, other than of calcium or silicon",284990
"Alcohols; saturated monohydric, propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)",290512
Acids; saturated acyclic monocarboxylic acids; acetic acid,291521
Acids; saturated acyclic monocarboxylic acids; acetic acid and its salts n.e.c. in item no. 2915.2,291529
"Photographic plates and film; in the flat, sensitised, unexposed, with any side exceeding 225mm, of any materials other than paper, paperboard or textiles",370130
"Photographic plates and film; (for other than colour photography), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles",370199
"Photographic plates and film; exposed and developed, other than cinematographic film",370500
"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",370790
"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",381800
"Plastics; boxes, cases, crates and similar articles for the conveyance or packing of goods",392310
"Glassware; laboratory, hygienic or pharmaceutical, whether or not graduated or calibrated, of fused quartz or other fused silica",701710
Glass; articles n.e.c. in chapter 70,702000
"Metals; platinum, unwrought or in powder form",711011
"Metals; platinum, semi-manufactured",711019
"Metals; palladium, unwrought or in powder form",711021
"Metals; palladium, semi-manufactured",711029
"Metals; rhodium, unwrought or in powder form",711031
"Metals; rhodium, semi-manufactured",711039
"Metals; iridium, osmium, ruthenium, unwrought or in powder form",711041
"Metals; iridium, osmium, ruthenium, semi-manufactured",711049
"Waste and scrap of precious metals; of platinum, including metal clad with platinum but excluding sweepings containing other precious metals",711292
Ferro-alloys; ferro-tungsten and ferro-silico-tungsten,720280
"Tin; unwrought, not alloyed",800110
"Tin; unwrought, alloys",800120
Tin; waste and scrap,800200
"Tungsten (wolfram); articles thereof, including waste and scrap, powders",810110
Tungsten (wolfram); waste and scrap,810197
"Magnesium; unwrought, containing at least 99.8% by weight of magnesium",810411
"Magnesium; unwrought, containing less than 99.8% by weight of magnesium",810419
Magnesium; waste and scrap,810420
"Magnesium; raspings, turnings and granules, graded according to size, powders",810430
Magnesium; articles n.e.c. in heading no. 8104,810490
"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",810520
Cobalt; waste and scrap,810530
Cobalt; articles n.e.c. in heading no. 8105,810590
"Antimony and articles thereof; unwrought antimony, powders",811010
Antimony; waste and scrap,811020
"Antimony and articles thereof; wrought, other than waste and scrap",811090
"Gallium, germanium, indium, niobium (columbium) and vanadium; articles thereof, unwrought, including waste and scrap, powders",811292
"Gas-tight biological safety cabinets; whether or not fitted with filters, having a maximum horizontal side not exceeding 120cm",841470
"Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan",841490
Heat exchange units; not used for domestic purposes,841950
"Machinery; for filtering or purifying liquids, n.e.c. in item no. 8421.2",842129
"Machinery; for filtering or purifying gases, other than intake air filters, catalytic converters or particulate filters for internal combustion engines",842139
Machinery; parts for filtering or purifying liquids or gases,842199
Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,848610
Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,848620
"Machines and apparatus of a kind used solely or principally for the manufacture or repair of masks and reticles, assembling semiconductor devices or electronic integrated circuits, or for lifting, handling, loading or unloading items of heading 8486",848640
Machines and apparatus of heading 8486; parts and accessories,848690
"Semiconductor media; smart cards, whether or not recorded, excluding products of Chapter 37",852352
"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",854110
"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",854121
"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",854129
"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",854130
"Electrical apparatus; photosensitive semiconductor devices, light emitting diodes (LED)",854141
"Electrical apparatus; photosensitive semiconductor devices, photovoltaic cells not assembled in modules or made up into panels",854142
"Electrical apparatus; photosensitive semiconductor devices, photovoltaic cells assembled in modules or made up into panels",854143
"Electrical apparatus; photosensitive semiconductor devices, diodes other than light emitting diodes and photovoltaic cells whether or not assembled in modules or made up into panels",854149
"Electrical apparatus; photosensitive semiconductor devices, semiconductor-based transducers",854151
Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541,854159
"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",854190
"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",854231
Electronic integrated circuits; memories,854232
Electronic integrated circuits; amplifiers,854233
Electronic integrated circuits; n.e.c. in heading no. 8542,854239
Parts of electronic integrated circuits,854290
Instruments and apparatus; for measuring or checking semiconductor wafers or devices,903082
"Instruments, apparatus for measuring, checking electrical quantities, not meters of heading no. 9028; parts and accessories, for measuring or detecting alpha, beta, gamma, x-ray, cosmic and other radiations",903090
"Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90",903141
"Optical instruments and appliances; for measuring or checking, n.e.c. in chapter 90",903149
"Instruments, appliances and machines; for measuring or checking n.e.c. in chapter 90",903180
